ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,0,2,2017-09-06,1,1.1048991227100966e-05
0.0,0.0,0,4,2017-09-01,1,1.1048991227100966e-05
0.0,0.0,0,5,2017-09-02,1,1.1048991227100966e-05
0.0,0.0,0,5,2017-09-16,1,1.1048991227100966e-05
0.0,0.0,0,5,2017-10-14,1,1.1048991227100966e-05
0.0,0.0,1,6,2017-10-08,1,1.1048991227100966e-05
0.0,0.0,3,1,2017-10-03,1,1.1048991227100966e-05
0.0,0.0,3,2,2017-10-04,1,1.1048991227100966e-05
0.0,0.0,3,4,2017-10-06,1,1.1048991227100966e-05
0.0,0.0,4,1,2017-09-12,1,1.1048991227100966e-05
0.0,0.0,4,1,2017-10-24,1,1.1048991227100966e-05
0.0,0.0,4,2,2017-09-06,1,1.1048991227100966e-05
0.0,0.0,4,3,2017-09-07,1,1.1048991227100966e-05
0.0,0.0,4,4,2017-09-08,1,1.1048991227100966e-05
0.0,0.0,4,4,2017-10-27,1,1.1048991227100966e-05
0.0,0.0,4,5,2017-09-30,1,1.1048991227100966e-05
0.0,0.0,5,0,2017-09-18,1,1.1048991227100966e-05
0.0,0.0,5,0,2017-09-25,3,3.31469736813029e-05
0.0,0.0,5,0,2017-10-02,2,2.209798245420193e-05
0.0,0.0,5,0,2017-10-09,3,3.31469736813029e-05
0.0,0.0,5,0,2017-10-16,2,2.209798245420193e-05
0.0,0.0,5,0,2017-10-23,1,1.1048991227100966e-05
0.0,0.0,5,1,2017-09-12,2,2.209798245420193e-05
0.0,0.0,5,1,2017-09-19,2,2.209798245420193e-05
0.0,0.0,5,1,2017-09-26,1,1.1048991227100966e-05
0.0,0.0,5,1,2017-10-03,2,2.209798245420193e-05
0.0,0.0,5,1,2017-10-10,3,3.31469736813029e-05
0.0,0.0,5,1,2017-10-17,1,1.1048991227100966e-05
0.0,0.0,5,1,2017-10-24,2,2.209798245420193e-05
0.0,0.0,5,2,2017-09-06,1,1.1048991227100966e-05
0.0,0.0,5,2,2017-09-13,2,2.209798245420193e-05
0.0,0.0,5,2,2017-09-20,3,3.31469736813029e-05
0.0,0.0,5,2,2017-10-04,1,1.1048991227100966e-05
0.0,0.0,5,2,2017-10-11,1,1.1048991227100966e-05
0.0,0.0,5,2,2017-10-18,2,2.209798245420193e-05
0.0,0.0,5,2,2017-10-25,3,3.31469736813029e-05
0.0,0.0,5,3,2017-09-14,3,3.31469736813029e-05
0.0,0.0,5,3,2017-09-21,2,2.209798245420193e-05
0.0,0.0,5,3,2017-10-05,5,5.524495613550483e-05
0.0,0.0,5,3,2017-10-12,3,3.31469736813029e-05
0.0,0.0,5,3,2017-10-19,1,1.1048991227100966e-05
0.0,0.0,5,4,2017-09-01,1,1.1048991227100966e-05
0.0,0.0,5,4,2017-09-08,2,2.209798245420193e-05
0.0,0.0,5,4,2017-09-15,3,3.31469736813029e-05
0.0,0.0,5,4,2017-09-22,1,1.1048991227100966e-05
0.0,0.0,5,4,2017-10-06,3,3.31469736813029e-05
0.0,0.0,5,4,2017-10-13,3,3.31469736813029e-05
0.0,0.0,5,4,2017-10-20,3,3.31469736813029e-05
0.0,0.0,5,4,2017-10-27,4,4.419596490840386e-05
0.0,0.0,5,5,2017-10-07,1,1.1048991227100966e-05
0.0,0.0,5,5,2017-10-21,1,1.1048991227100966e-05
0.0,0.0,5,6,2017-09-10,1,1.1048991227100966e-05
0.0,0.0,6,0,2017-09-11,7,7.734293858970676e-05
0.0,0.0,6,0,2017-09-18,8,8.839192981680772e-05
0.0,0.0,6,0,2017-09-25,5,5.524495613550483e-05
0.0,0.0,6,0,2017-10-02,1,1.1048991227100966e-05
0.0,0.0,6,0,2017-10-09,5,5.524495613550483e-05
0.0,0.0,6,0,2017-10-23,3,3.31469736813029e-05
0.0,0.0,6,1,2017-09-12,5,5.524495613550483e-05
0.0,0.0,6,1,2017-09-19,7,7.734293858970676e-05
0.0,0.0,6,1,2017-09-26,8,8.839192981680772e-05
0.0,0.0,6,1,2017-10-03,9,9.944092104390869e-05
0.0,0.0,6,1,2017-10-10,4,4.419596490840386e-05
0.0,0.0,6,1,2017-10-17,3,3.31469736813029e-05
0.0,0.0,6,1,2017-10-24,5,5.524495613550483e-05
0.0,0.0,6,2,2017-09-06,7,7.734293858970676e-05
0.0,0.0,6,2,2017-09-13,3,3.31469736813029e-05
0.0,0.0,6,2,2017-09-20,6,6.62939473626058e-05
0.0,0.0,6,2,2017-10-04,1,1.1048991227100966e-05
0.0,0.0,6,2,2017-10-11,2,2.209798245420193e-05
0.0,0.0,6,2,2017-10-18,4,4.419596490840386e-05
0.0,0.0,6,2,2017-10-25,9,9.944092104390869e-05
0.0,0.0,6,3,2017-09-07,5,5.524495613550483e-05
0.0,0.0,6,3,2017-09-14,5,5.524495613550483e-05
0.0,0.0,6,3,2017-09-21,1,1.1048991227100966e-05
0.0,0.0,6,3,2017-10-05,8,8.839192981680772e-05
0.0,0.0,6,3,2017-10-12,3,3.31469736813029e-05
0.0,0.0,6,3,2017-10-19,4,4.419596490840386e-05
0.0,0.0,6,3,2017-10-26,8,8.839192981680772e-05
0.0,0.0,6,4,2017-09-01,7,7.734293858970676e-05
0.0,0.0,6,4,2017-09-08,3,3.31469736813029e-05
0.0,0.0,6,4,2017-09-15,3,3.31469736813029e-05
0.0,0.0,6,4,2017-09-22,1,1.1048991227100966e-05
0.0,0.0,6,4,2017-10-06,2,2.209798245420193e-05
0.0,0.0,6,4,2017-10-20,5,5.524495613550483e-05
0.0,0.0,6,4,2017-10-27,2,2.209798245420193e-05
0.0,0.0,6,5,2017-09-16,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-09-23,2,2.209798245420193e-05
0.0,0.0,6,5,2017-09-30,3,3.31469736813029e-05
0.0,0.0,6,5,2017-10-07,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-10-14,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-10-21,1,1.1048991227100966e-05
0.0,0.0,6,6,2017-09-17,2,2.209798245420193e-05
0.0,0.0,6,6,2017-10-01,2,2.209798245420193e-05
0.0,0.0,6,6,2017-10-22,1,1.1048991227100966e-05
0.0,0.0,7,0,2017-09-11,2,2.209798245420193e-05
0.0,0.0,7,0,2017-09-18,2,2.209798245420193e-05
