ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,0,2,2017-10-11,1,1.3775432892978662e-05
0.0,0.0,0,5,2017-09-16,1,1.3775432892978662e-05
0.0,0.0,0,5,2017-10-21,1,1.3775432892978662e-05
0.0,0.0,0,6,2017-09-10,1,1.3775432892978662e-05
0.0,0.0,0,6,2017-10-15,1,1.3775432892978662e-05
0.0,0.0,2,1,2017-10-10,1,1.3775432892978662e-05
0.0,0.0,3,0,2017-09-25,1,1.3775432892978662e-05
0.0,0.0,4,0,2017-09-11,2,2.7550865785957323e-05
0.0,0.0,4,1,2017-09-12,1,1.3775432892978662e-05
0.0,0.0,4,1,2017-09-19,1,1.3775432892978662e-05
0.0,0.0,4,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,4,1,2017-10-17,1,1.3775432892978662e-05
0.0,0.0,4,1,2017-10-24,1,1.3775432892978662e-05
0.0,0.0,4,1,2017-10-31,1,1.3775432892978662e-05
0.0,0.0,4,4,2017-09-22,2,2.7550865785957323e-05
0.0,0.0,4,5,2017-10-28,1,1.3775432892978662e-05
0.0,0.0,5,0,2017-09-18,1,1.3775432892978662e-05
0.0,0.0,5,0,2017-09-25,2,2.7550865785957323e-05
0.0,0.0,5,0,2017-10-16,3,4.1326298678935985e-05
0.0,0.0,5,0,2017-10-23,2,2.7550865785957323e-05
0.0,0.0,5,1,2017-09-12,1,1.3775432892978662e-05
0.0,0.0,5,1,2017-10-17,1,1.3775432892978662e-05
0.0,0.0,5,2,2017-09-06,1,1.3775432892978662e-05
0.0,0.0,5,2,2017-09-13,3,4.1326298678935985e-05
0.0,0.0,5,2,2017-10-04,3,4.1326298678935985e-05
0.0,0.0,5,2,2017-10-11,1,1.3775432892978662e-05
0.0,0.0,5,3,2017-10-12,2,2.7550865785957323e-05
0.0,0.0,5,4,2017-10-13,1,1.3775432892978662e-05
0.0,0.0,5,4,2017-10-27,1,1.3775432892978662e-05
0.0,0.0,5,5,2017-09-09,1,1.3775432892978662e-05
0.0,0.0,6,0,2017-09-11,2,2.7550865785957323e-05
0.0,0.0,6,0,2017-09-18,1,1.3775432892978662e-05
